OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
ALX,ALX,Thomas C Russell Field,ALX,ALX,Alexander City,US,AL
ALY,ALY,El Nouzha,ALY,ALY,Alexandria,EG,
ALZ,ALZ,Alitak Sea Plane Base,ALZ,ALZ,Alitak,US,AK
AMA,AMA,Rick Husband Intl,AMA,AMA,Amarillo,US,TX
AMB,AMB,Ambilobe,AMB,AMB,Ambilobe,MG,
AMC,AMC,Am Timan,AMC,AMC,Am Timan,TD,
AMD,AMD,S.VallabhBhai Patel,AMD,AMD,Ahmedabad,IN,GJ
AME,AME,Alto Molocue,AME,AME,Alto Molocue,MZ,
AMF,AMF,Ama,AMF,AMF,Ama,PG,
AMG,AMG,Amboin,AMG,AMG,Amboin,PG,
AMH,AMH,Arba Minch,AMH,AMH,Arba Minch,ET,
AMI,AMI,Selaparang,AMI,AMI,Mataram,ID,
AMJ,AMJ,Cirilo Queiroz,AMJ,AMJ,Almenara,BR,MG
AMK,AMK,Animas Air Park,DRO,DRO,Durango,US,CO
AML,AML,Puerto Armuelles,AML,AML,Puerto Armuelles,PA,
AMM,AMM,Queen Alia Intl,AMM,AMM,Amman,JO,
AMN,AMN,Gratiot Community,AMN,AMN,Alma,US,MI
AMO,AMO,Mao,AMO,AMO,Mao,TD,
AMP,AMP,Ampanihy,AMP,AMP,Ampanihy,MG,
AMQ,AMQ,Pattimura,AMQ,AMQ,Ambon,ID,
AMS,AMS,Schiphol Airport,AMS,AMS,Amsterdam,NL,
AMU,AMU,Amanab,AMU,AMU,Amanab,PG,
AMV,AMV,Amderma,AMV,AMV,Amderma,RU,
AMW,AMW,Ames Municipal,AMW,AMW,Ames,US,IA
AMX,AMX,Ammaroo,AMX,AMX,Ammaroo,AU,NT
AMY,AMY,Ambatomainty,AMY,AMY,Ambatomainty,MG,
AMZ,AMZ,Ardmore,AMZ,AMZ,Ardmore,NZ,
ANB,ANB,Anniston Regional,ANB,ANB,Anniston,US,AL
ANC,ANC,Ted Stevens Intl,ANC,ANC,Anchorage,US,AK
AND,AND,Anderson Regional,AND,AND,Anderson,US,SC
ANE,ANE,Marce,ANE,ANE,Angers,FR,
ANF,ANF,Cerro Moreno,ANF,ANF,Antofagasta,CL,
ANG,ANG,Brie-Champniers,ANG,ANG,Angouleme,FR,
ANI,ANI,Aniak,ANI,ANI,Aniak,US,AK
ANJ,ANJ,Zanaga,ANJ,ANJ,Zanaga,CG,
ANK,ANK,Etimesgut,ANK,ANK,Ankara,TR,
ANL,ANL,Andulo,ANL,ANL,Andulo,AO,
ANM,ANM,Antsirabato,ANM,ANM,Antalaha,MG,
ANN,ANN,Annette Island,ANN,ANN,Annette Island,US,AK
ANO,ANO,Angoche,ANO,ANO,Angoche,MZ,
ANP,ANP,Lee,ANP,ANP,Annapolis,US,MD
ANQ,ANQ,Tri-State Steuben Co.,ANQ,ANQ,Angola,US,IN
ANR,ANR,Antwerp International,ANR,ANR,Antwerp,BE,
ANS,ANS,Andahuaylas,ANS,ANS,Andahuaylas,PE,
ANU,ANU,V.C. Bird Intl,ANU,ANU,Antigua,AG,
ANV,ANV,Anvik,ANV,ANV,Anvik,US,AK
ANW,ANW,Ainsworth Regional,ANW,ANW,Ainsworth,US,NE
ANX,ANX,Andoya,ANX,ANX,Andenes,NO,
ANY,ANY,Anthony Municipal,ANY,ANY,Anthony,US,KS
ANZ,ANZ,Angus Downs Station,ANZ,ANZ,Angus Downs Station,AU,NT
AOA,AOA,Aroa,AOA,AOA,Aroa,PG,
AOB,AOB,Annanberg,AOB,AOB,Annanberg,PG,
AOC,AOC,Nobitz,AOC,AOC,Altenburg,DE,
AOD,AOD,Abou Deia,AOD,AOD,Abou Deia,TD,
AOE,AOE,Anadolu,ESK,ESK,Eskisehir,TR,
AOH,AOH,Allen County,AOH,AOH,Lima,US,OH
AOI,AOI,Falconara,AOI,AOI,Ancona,IT,
AOJ,AOJ,Aomori,AOJ,AOJ,Aomori,JP,
AOK,AOK,Karpathos,AOK,AOK,Karpathos,GR,
AOL,AOL,Paso de los Libres,AOL,AOL,Paso de los Libres,AR,CR
AOM,AOM,Adam,AOM,AOM,Adam,OM,
AON,AON,Arona,AON,AON,Arona,PG,
AOO,AOO,Blair County,AOO,AOO,Altoona,US,PA
AOP,AOP,Alfredo V. Sara Bauer,AOP,AOP,Andoas,PE,
AOR,AOR,Sultan Abdul Halim,AOR,AOR,Alor Setar,MY,
AOS,AOS,Amook Bay Sea Plane Base,AOS,AOS,Amook Bay,US,AK
AOT,AOT,Corrado Gex,AOT,AOT,Aosta,IT,
AOU,AOU,Attapeu,AOU,AOU,Attapeu,LA,
APA,APA,Centennial,DEN,DEN,Denver,US,CO
APB,APB,Apolo,APB,APB,Apolo,BO,
APC,APC,Napa County,APC,APC,Napa,US,CA
APF,APF,Naples Municipal,APF,APF,Naples,US,FL
APG,APG,Phillips AAF,APG,APG,Aberdeen,US,MD
APH,APH,A.P. Hill AAF,APH,APH,Bowling Green,US,VA
API,API,Luis F. Gomez Nino AB,API,API,Apiay,CO,
APK,APK,Apataki,APK,APK,Apataki,PF,
APL,APL,Nampula,APL,APL,Nampula,MZ,
APN,APN,Alpena County Regional,APN,APN,Alpena,US,MI
APO,APO,Carepa-A.R. Betancourt,APO,APO,Apartado,CO,
APP,APP,Asapa,APP,APP,Asapa,PG,
APQ,APQ,Arapiraca,APQ,APQ,Arapiraca,BR,AL
APR,APR,April River,APR,APR,April River,PG,
APT,APT,Marion County,APT,APT,Jasper,US,TN
APV,APV,Apple Valley,APV,APV,Apple Valley,US,CA
APW,APW,Faleolo Intl,APW,APW,Apia,WS,
APX,APX,Alberto Bertelli,APX,APX,Arapongas,BR,PR
APY,APY,Alto Parnaiba,APY,APY,Alto Parnaiba,BR,MA
APZ,APZ,Zapala,APZ,APZ,Zapala,AR,
AQA,AQA,Bartolomeu de Gusmao,AQA,AQA,Araraquara,BR,SP
AQB,AQB,Quiche,AQB,AQB,Quiche,GT,
AQG,AQG,Tianzhushan,AQG,AQG,Anqing,CN,
AQI,AQI,Hafar al Batin,AQI,AQI,Qaisumah,SA,
AQJ,AQJ,King Hussein Intl,AQJ,AQJ,Aqaba,JO,
AQP,AQP,Rodriguez Ballon Intl,AQP,AQP,Arequipa,PE,
AQS,AQS,Saqani,AQS,AQS,Saqani,FJ,
AQY,AQY,Girdwood,AQY,AQY,Girdwood,US,AK
ARA,ARA,Acadiana Regional,ARA,ARA,New Iberia,US,LA
ARB,ARB,Ann Arbor Municipal,ARB,ARB,Ann Arbor,US,MI
ARC,ARC,Arctic Village,ARC,ARC,Arctic Village,US,AK
ARD,ARD,Mali,ARD,ARD,Alor,ID,
ARE,ARE,Antonio Juarbe Pol,ARE,ARE,Arecibo,PR,
ARF,ARF,Acaricuara,ARF,ARF,Acaricuara,CO,
ARG,ARG,Walnut Ridge Regional,ARG,ARG,Walnut Ridge,US,AR
ARH,ARH,Talagi,ARH,ARH,Arkhangelsk,RU,
ARI,ARI,Chacalluta,ARI,ARI,Arica,CL,
ARJ,ARJ,Arso,ARJ,ARJ,Arso,ID,
ARK,ARK,Arusha,ARK,ARK,Arusha,TZ,
ARL,ARL,Arly,ARL,ARL,Arly,BF,
ARM,ARM,Armidale,ARM,ARM,Armidale,AU,NS
ARN,ARN,Arlanda,STO,STO,Stockholm,SE,
ARO,ARO,Arboletes,ARO,ARO,Arboletes,CO,
ARP,ARP,Aragip,ARP,ARP,Aragip,PG,
ARQ,ARQ,El Troncal,ARQ,ARQ,Arauquita,CO,
ARR,ARR,Alto Rio Senguer,ARR,ARR,Alto Rio Senguer,AR,CB
ARS,ARS,Aragarcas,ARS,ARS,Aragarcas,BR,GO
ART,ART,Watertown International,ART,ART,Watertown,US,NY
ARU,ARU,Dario Guarita,ARU,ARU,Aracatuba,BR,SP
ARV,ARV,Lakeland,ARV,ARV,Minocqua/Woodruff,US,WI
ARW,ARW,Arad,ARW,ARW,Arad,RO,
ARX,ARX,Dragao do Mar,ARX,ARX,Aracati,BR,CE
ARY,ARY,Ararat,ARY,ARY,Ararat,AU,VI
ARZ,ARZ,N'zeto,ARZ,ARZ,N'zeto,AO,
ASA,ASA,Assab International,ASA,ASA,Assab,ER,
ASB,ASB,Ashgabat International,ASB,ASB,Ashgabat,TM,
ASC,ASC,Ascension,ASC,ASC,Ascension,BO,
ASD,ASD,Andros Town International,ASD,ASD,Andros Town,BS,
ASE,ASE,Pitkin County,ASE,ASE,Aspen,US,CO
ASF,ASF,Astrakhan,ASF,ASF,Astrakhan,RU,
ASG,ASG,Ashburton,ASG,ASG,Ashburton,NZ,
ASH,ASH,Boire Field,ASH,ASH,Nashua,US,NH
ASI,ASI,Ascension Island RAF Station,ASI,ASI,Ascension Island,SH,
ASJ,ASJ,Amami,ASJ,ASJ,Amami,JP,
ASK,ASK,Yamoussoukro,ASK,ASK,Yamoussoukro,CI,
ASL,ASL,Harrison County,ASL,ASL,Marshall,US,TX
ASM,ASM,Asmara International,ASM,ASM,Asmara,ER,
ASN,ASN,Talladega Municipal,ASN,ASN,Talladega,US,AL
ASO,ASO,Asosa,ASO,ASO,Asosa,ET,
ASP,ASP,Alice Springs Airport,ASP,ASP,Alice Springs,AU,NT
ASQ,ASQ,Austin,ASQ,ASQ,Austin,US,NV
ASR,ASR,Erkilet,ASR,ASR,Kayseri,TR,
ASS,ASS,Arathusa Safari Lodge,ASS,ASS,Arathusa Safari Lodge,ZA,
AST,AST,Astoria Regional,AST,AST,Astoria,US,OR
ASU,ASU,Silvio Pettirossi Intl,ASU,ASU,Asuncion,PY,
ASV,ASV,Amboseli,ASV,ASV,Amboseli,KE,
ASW,ASW,Aswan International,ASW,ASW,Aswan,EG,
ASX,ASX,John F. Kennedy Mem.,ASX,ASX,Ashland,US,WI
ASY,ASY,Ashley Municipal,ASY,ASY,Ashley,US,ND
ASZ,ASZ,Asirim,ASZ,ASZ,Asirim,PG,
ATA,ATA,German Arias Graziani,ATA,ATA,Huaraz,PE,
ATB,ATB,Atbara,ATB,ATB,Atbara,SD,
ATC,ATC,Arthur's Town,ATC,ATC,Arthur's Town,BS,
ATD,ATD,Atoifi,ATD,ATD,Atoifi,SB,
ATE,ATE,Antlers Municipal,ATE,ATE,Antlers,US,OK
ATF,ATF,Chachoan,ATF,ATF,Ambato,EC,
ATG,ATG,Minhas,ATG,ATG,Attock,PK,
ATH,ATH,Eleftherios Venizelos,ATH,ATH,Athens,GR,
ATI,ATI,Artigas,ATI,ATI,Artigas,UY,
ATJ,ATJ,Antsirabe,ATJ,ATJ,Antsirabe,MG,
ATK,ATK,E.Burnell Sr Memorial,ATK,ATK,Atqasuk,US,AK
ATL,ATL,Hartsfield-Jackson Int,ATL,ATL,Atlanta,US,GA
ATM,ATM,Altamira,ATM,ATM,Altamira,BR,PA
ATN,ATN,Namatanai,ATN,ATN,Namatanai,PG,
ATO,ATO,Ohio University,ATO,ATO,Athens,US,OH
ATP,ATP,Aitape Airstrip,ATP,ATP,Aitape,PG,
ATQ,ATQ,Sri Guru Ram Dass Jee,ATQ,ATQ,Amritsar,IN,PB
ATR,ATR,Atar International,ATR,ATR,Atar,MR,
ATS,ATS,Artesia Municipal,ATS,ATS,Artesia,US,NM
ATT,ATT,Atmautluak,ATT,ATT,Atmautluak,US,AK
ATU,ATU,Casco Cove CGS,ATU,ATU,Attu Island,US,AK
ATV,ATV,Ati,ATV,ATV,Ati,TD,
ATW,ATW,Appleton International,ATW,ATW,Appleton,US,WI
ATX,ATX,Atbasar,ATX,ATX,Atbasar,KZ,
ATY,ATY,Watertown Regional,ATY,ATY,Watertown,US,SD
ATZ,ATZ,Asyut,ATZ,ATZ,Asyut,EG,
AUA,AUA,Reina Beatrix,AUA,AUA,Aruba,AW,
AUC,AUC,Santiago Perez Quiroz,AUC,AUC,Arauca,CO,
AUD,AUD,Augustus Downs,AUD,AUD,Augustus Downs,AU,QL
AUE,AUE,Abu Rudeis,AUE,AUE,Abu Rudeis,EG,
AUF,AUF,Branches,AUF,AUF,Auxerre,FR,
AUG,AUG,Augusta State,AUG,AUG,Augusta,US,ME
AUH,AUH,Abu Dhabi International,AUH,AUH,Abu Dhabi,AE,
AUI,AUI,Aua Island,AUI,AUI,Aua Island,PG,
AUJ,AUJ,Ambunti,AUJ,AUJ,Ambunti,PG,
AUK,AUK,Alakanuk,AUK,AUK,Alakanuk,US,AK
AUL,AUL,Aur Island,AUL,AUL,Aur Island,MH,
AUM,AUM,Austin Municipal,AUM,AUM,Austin,US,MN
AUN,AUN,Auburn Municipal,AUN,AUN,Auburn,US,CA
AUO,AUO,Auburn University Rgnl,AUO,AUO,Auburn,US,AL
AUP,AUP,Agaun,AUP,AUP,Agaun,PG,
AUQ,AUQ,Atuona,AUQ,AUQ,Hiva Oa,PF,
AUR,AUR,Aurillac,AUR,AUR,Aurillac,FR,
AUS,AUS,Austin-Bergstrom Intl,AUS,AUS,Austin,US,TX
AUT,AUT,Atauro,AUT,AUT,Atauro,TL,
AUU,AUU,Aurukun,AUU,AUU,Aurukun,AU,QL
AUV,AUV,Aumo,AUV,AUV,Aumo,PG,
AUW,AUW,Downtown Apt,AUW,AUW,Wausau,US,WI
AUX,AUX,Araguaina,AUX,AUX,Araguaina,BR,TO
AUY,AUY,Anatom Island,AUY,AUY,Anatom Island,VU,
AUZ,AUZ,Aurora Municipal,AUZ,AUZ,Aurora,US,IL
AVA,AVA,Huangguoshu,AVA,AVA,Anshun,CN,
AVB,AVB,Aviano Air Base,AVB,AVB,Aviano,IT,
AVG,AVG,Auvergne Station,AVG,AVG,Auvergne Station,AU,NT
AVI,AVI,Maximo Gomez,AVI,AVI,Ciego de Avila,CU,
AVK,AVK,Arvaikheer,AVK,AVK,Arvaikheer,MN,
AVL,AVL,Asheville Regional,AVL,AVL,Asheville/Hendersonv.,US,NC
AVN,AVN,Caumont,AVN,AVN,Avignon,FR,
AVO,AVO,Executive,AVO,AVO,Avon Park,US,FL
AVP,AVP,Wilkes-Barre/Scranton International,AVP,AVP,Wilkes-Barre/Scranton,US,PA
AVR,AVR,Alverca,AVR,AVR,Alverca,PT,
AVU,AVU,Avu Avu,AVU,AVU,Avu Avu,SB,
AVV,AVV,Avalon,MEL,MEL,Melbourne,AU,VI
AVW,AVW,Marana Regional,TUS,TUS,Tucson,US,AZ
AVX,AVX,Catalina,AVX,AVX,Avalon,US,CA
AWA,AWA,Awasa,AWA,AWA,Awasa,ET,
AWD,AWD,Aniwa Island,AWD,AWD,Aniwa Island,VU,
AWE,AWE,Alowe,AWE,AWE,Alowe,GA,
AWK,AWK,Wake Island,AWK,AWK,Wake Island,UM,
AWM,AWM,West Memphis Municipal,AWM,AWM,West Memphis,US,AR
AWN,AWN,Alton Downs,AWN,AWN,Alton Downs,AU,SA
AWP,AWP,Austral Downs Station,AWP,AWP,Austral Downs Station,AU,NT
AWR,AWR,Awar,AWR,AWR,Awar,PG,
AWZ,AWZ,Ahwaz,AWZ,AWZ,Ahwaz,IR,
AXA,AXA,Clayton J. Lloyd Intl,AXA,AXA,Anguilla,AI,
AXB,AXB,Maxson Airfield,AXB,AXB,Alexandria Bay,US,NY
AXC,AXC,Aramac,AXC,AXC,Aramac,AU,QL
AXD,AXD,Dimokritos,AXD,AXD,Alexandroupolis,GR,
AXE,AXE,Joao Winckler,AXE,AXE,Xanxere,BR,SC
AXF,AXF,Alxa Left Banner,AXF,AXF,Alxa Left Banner,CN,
AXG,AXG,Algona Municipal,AXG,AXG,Algona,US,IA
AXJ,AXJ,Amakusa,AXJ,AXJ,Amakusa,JP,
AXK,AXK,Ataq,AXK,AXK,Ataq,YE,
AXL,AXL,Alexandria Station,AXL,AXL,Alexandria Station,AU,NT
AXM,AXM,El Eden Intl,AXM,AXM,Armenia,CO,
AXN,AXN,Chandler Field,AXN,AXN,Alexandria,US,MN
AXP,AXP,Spring Point,AXP,AXP,Spring Point,BS,
AXR,AXR,Arutua,AXR,AXR,Arutua,PF,
AXS,AXS,Quartz Mountain Rgnl,LTS,LTS,Altus,US,OK
AXT,AXT,Akita,AXT,AXT,Akita,JP,
AXU,AXU,Axum,AXU,AXU,Axum,ET,
AXV,AXV,Neil Armstrong,AXV,AXV,Wapakoneta,US,OH
AXX,AXX,Angel Fire,AXX,AXX,Angel Fire,US,NM
AYA,AYA,El Cebruno,AYA,AYA,Ayapel,CO,
AYC,AYC,La Gloria,AYC,AYC,Ayacucho,CO,
AYD,AYD,Alroy Downs,AYD,AYD,Alroy Downs,AU,NT
AYG,AYG,Yaguara II,AYG,AYG,Yaguara II,CO,
AYI,AYI,Yari,AYI,AYI,Yari,CO,
AYK,AYK,Arkalyk,AYK,AYK,Arkalyk,KZ,
AYL,AYL,Anthony Lagoon,AYL,AYL,Anthony Lagoon,AU,NT
AYM,AYM,Yas Island SPB,AUH,AUH,Abu Dhabi,AE,
AYN,AYN,Anyang,AYN,AYN,Anyang,CN,
AYO,AYO,Juan de Ayolas,AYO,AYO,Ayolas,PY,
AYP,AYP,Alfredo M. Duarte,AYP,AYP,Ayacucho,PE,
AYQ,AYQ,Connellan,AYQ,AYQ,Ayers Rock,AU,NT
AYR,AYR,Ayr,AYR,AYR,Ayr,AU,QL
AYS,AYS,Ware County,AYS,AYS,Waycross,US,GA
AYT,AYT,Antalya,AYT,AYT,Antalya,TR,
AYU,AYU,Aiyura,AYU,AYU,Aiyura,PG,
AYW,AYW,Ayawasi,AYW,AYW,Ayawasi,ID,
AYX,AYX,Gerardo Perez Pinedo,AYX,AYX,Atalaya,PE,
AZA,AZA,Mesa Gateway,PHX,PHX,Phoenix,US,AZ
AZB,AZB,Amazon Bay,AZB,AZB,Amazon Bay,PG,
AZD,AZD,Shahid Sadooghi,AZD,AZD,Yazd,IR,
AZG,AZG,Pablo L. Sidar,AZG,AZG,Apatzingan,MX,
AZI,AZI,Bateen,AUH,AUH,Abu Dhabi,AE,
AZL,AZL,Fazenda Tucunare,AZL,AZL,Sapezal,BR,MT
AZN,AZN,Andizhan,AZN,AZN,Andizhan,UZ,
AZO,AZO,Kalamazoo/Battle Creek International,AZO,AZO,Kalamazoo/Battle Creek,US,MI
AZP,AZP,Atizapan-Jimenez Cantu,MEX,MEX,Mexico City,MX,
AZR,AZR,Touat,AZR,AZR,Adrar,DZ,
AZS,AZS,El Catey Intl,AZS,AZS,Samana,DO,
AZT,AZT,Zapatoca,AZT,AZT,Zapatoca,CO,
AZZ,AZZ,Ambriz,AZZ,AZZ,Ambriz,AO,
BAA,BAA,Bialla,BAA,BAA,Bialla,PG,
BAB,BAB,Beale AFB,MYV,MYV,Marysville,US,CA
BAC,BAC,Guadalito,BAC,BAC,Barranca de Upia,CO,
BAD,BAD,Barksdale AFB,SHV,SHV,Shreveport,US,LA
BAE,BAE,St-Pons,BAE,BAE,Barcelonnette,FR,
BAF,BAF,Westfield-Barnes Rgnl,SFY,SFY,Springfield,US,MA
BAG,BAG,Loakan,BAG,BAG,Baguio,PH,
BAH,BAH,Bahrain International,BAH,BAH,Bahrain,BH,
BAI,BAI,Buenos Aires,BAI,BAI,Buenos Aires,CR,
BAJ,BAJ,Bali,BAJ,BAJ,Bali,PG,
BAM,BAM,Battle Mountain,BAM,BAM,Battle Mountain,US,NV
BAN,BAN,Basongo,BAN,BAN,Basongo,CD,
BAP,BAP,Baibara,BAP,BAP,Baibara,PG,
BAQ,BAQ,Ernesto Cortissoz Intl,BAQ,BAQ,Barranquilla,CO,
BAR,BAR,Bo'ao,BAR,BAR,Qionghai,CN,
BAS,BAS,Balalae,BAS,BAS,Balalae,SB,
BAT,BAT,Chafei Amsei,BAT,BAT,Barretos,BR,SP
BAV,BAV,Erliban,BAV,BAV,Baotou,CN,
BAW,BAW,Biawonque,BAW,BAW,Biawonque,GA,
BAX,BAX,Barnaul,BAX,BAX,Barnaul,RU,
BAY,BAY,Baia Mare,BAY,BAY,Baia Mare,RO,
BAZ,BAZ,Barcelos,BAZ,BAZ,Barcelos,BR,AM
BBA,BBA,Balmaceda,BBA,BBA,Balmaceda,CL,
BBB,BBB,Benson Municipal,BBB,BBB,Benson,US,MN
BBC,BBC,Bay City Municipal,BBC,BBC,Bay City,US,TX
BBD,BBD,Curtis Field,BBD,BBD,Brady,US,TX
BBG,BBG,Butaritari,BBG,BBG,Butaritari,KI,
BBH,BBH,Barth,BBH,BBH,Stralsund,DE,
BBI,BBI,Biju Patnaik,BBI,BBI,Bhubaneshwar,IN,OR
BBJ,BBJ,Bitburg,BBJ,BBJ,Bitburg,DE,
BBK,BBK,Kasane,BBK,BBK,Kasane,BW,
BBL,BBL,Ballera,BBL,BBL,Ballera,AU,QL
BBM,BBM,Battambang,BBM,BBM,Battambang,KH,
BBN,BBN,Bario,BBN,BBN,Bario,MY,
BBO,BBO,Berbera,BBO,BBO,Berbera,SO,
BBP,BBP,Bembridge,BBP,BBP,Bembridge,GB,
BBQ,BBQ,Codrington,BBQ,BBQ,Barbuda,AG,
BBR,BBR,Baillif,BBR,BBR,Basse-Terre,GP,
BBT,BBT,Berberati,BBT,BBT,Berberati,CF,
BBU,BBU,Baneasa - Aurel Vlaicu,BUH,BUH,Bucharest,RO,
BBV,BBV,Nero-Mer,BBV,BBV,Grand Bereby,CI,
BBW,BBW,Broken Bow Municipal,BBW,BBW,Broken Bow,US,NE
BBX,BBX,Wings Field,PHL,PHL,Philadelphia,US,PA
BBY,BBY,Bambari,BBY,BBY,Bambari,CF,
BBZ,BBZ,Zambezi,BBZ,BBZ,Zambezi,ZM,
BCA,BCA,Gustavo Rizo,BCA,BCA,Baracoa,CU,
BCB,BCB,Virginia Tech,BCB,BCB,Blacksburg,US,VA
BCC,BCC,Bear Creek 3,BCC,BCC,Bear Creek,US,AK
BCD,BCD,Silay International,BCD,BCD,Bacolod,PH,
BCE,BCE,Bryce Canyon,BCE,BCE,Bryce Canyon,US,UT
BCF,BCF,Bouca,BCF,BCF,Bouca,CF,
BCG,BCG,Bemichi,BCG,BCG,Bemichi,GY,
BCH,BCH,Cakung,BCH,BCH,Baucau,TL,
BCI,BCI,Barcaldine,BCI,BCI,Barcaldine,AU,QL
BCK,BCK,Bolwarra,BCK,BCK,Bolwarra,AU,QL
BCL,BCL,Barra del Colorado,BCL,BCL,Barra del Colorado,CR,
BCM,BCM,Bacau,BCM,BCM,Bacau,RO,
BCN,BCN,Barcelona Airport,BCN,BCN,Barcelona,ES,
BCO,BCO,Bako,BCO,BCO,Jinka,ET,
BCP,BCP,Bambu,BCP,BCP,Bambu,PG,
BCQ,BCQ,Brach,BCQ,BCQ,Brach,LY,
BCR,BCR,Novo Campo,BCR,BCR,Boca do Acre,BR,AM
BCS,BCS,Southern Seaplane Apt,BCS,BCS,Belle Chasse,US,LA
BCT,BCT,Boca Raton,BCT,BCT,Boca Raton,US,FL
BCU,BCU,Bauchi,BCU,BCU,Bauchi,NG,
BCW,BCW,Benguerra Island,BCW,BCW,Benguerra Island,MZ,
BCX,BCX,Beloretsk,BCX,BCX,Beloretsk,RU,
BCY,BCY,Bulchi,BCY,BCY,Bulchi,ET,
BCZ,BCZ,Bickerton Island,BCZ,BCZ,Bickerton Island,AU,NT
BDA,BDA,L.F Wade International,BDA,BDA,Bermuda,BM,
BDB,BDB,Bundaberg,BDB,BDB,Bundaberg,AU,QL
BDC,BDC,Barra do Corda,BDC,BDC,Barra do Corda,BR,MA
BDD,BDD,Badu Island,BDD,BDD,Badu Island,AU,QL
BDE,BDE,Baudette International,BDE,BDE,Baudette,US,MN
BDF,BDF,Rinkenberger,BDF,BDF,Bradford,US,IL
BDG,BDG,Blanding Municipal,BDG,BDG,Blanding,US,UT
BDH,BDH,Bandar Lengeh,BDH,BDH,Bandar Lengeh,IR,
BDI,BDI,Bird Island,BDI,BDI,Bird Island,SC,
BDJ,BDJ,Syamsudin Noor,BDJ,BDJ,Banjarmasin,ID,
BDK,BDK,Soko,BDK,BDK,Bondoukou,CI,
BDL,BDL,Bradley International,HFD,HFD,Hartford,US,CT
BDM,BDM,Bandirma,BDM,BDM,Bandirma,TR,
BDN,BDN,Talhar,BDN,BDN,Badin,PK,
BDO,BDO,Husein Sastranegara,BDO,BDO,Bandung,ID,
BDP,BDP,Chandragadhi,BDP,BDP,Bhadrapur,NP,
BDQ,BDQ,Vadodara,BDQ,BDQ,Vadodara,IN,GJ
BDR,BDR,Igor I. Sikorsky Mem.,BDR,BDR,Bridgeport,US,CT
BDS,BDS,Casale,BDS,BDS,Brindisi,IT,
BDT,BDT,Gbadolite,BDT,BDT,Gbadolite,CD,
BDU,BDU,Bardufoss,BDU,BDU,Bardufoss,NO,
BDV,BDV,Moba,BDV,BDV,Moba,CD,
BDW,BDW,Bedford Downs,BDW,BDW,Bedford Downs,AU,WA
BDX,BDX,Broadus,BDX,BDX,Broadus,US,MT
BDY,BDY,Bandon State,BDY,BDY,Bandon,US,OR
BDZ,BDZ,Baindoung,BDZ,BDZ,Baindoung,PG,
BEA,BEA,Bereina,BEA,BEA,Bereina,PG,
BEB,BEB,Benbecula,BEB,BEB,Benbecula,GB,
BEC,BEC,Beech Factory Apt,ICT,ICT,Wichita,US,KS
BED,BED,Laurence G Hanscom Fld,BED,BED,Bedford,US,MA
BEE,BEE,Beagle Bay,BEE,BEE,Beagle Bay,AU,WA
BEF,BEF,Bluefields,BEF,BEF,Bluefields,NI,
BEG,BEG,Nikola Tesla,BEG,BEG,Belgrade,RS,
BEH,BEH,Southwest Michigan Rgl,BEH,BEH,Benton Harbor,US,MI
BEI,BEI,Beica,BEI,BEI,Beica,ET,
BEJ,BEJ,Kalimarau,BEJ,BEJ,Tanjung Redeb,ID,
BEK,BEK,Bareilly,BEK,BEK,Bareilly,IN,UP
BEL,BEL,Val de Cans Intl,BEL,BEL,Belem,BR,PA
BEM,BEM,Beni Mellal National,BEM,BEM,Beni Mellal,MA,
BEN,BEN,Benina Intl,BEN,BEN,Benghazi,LY,
BEO,BEO,Aeropelican,NTL,NTL,Newcastle,AU,NS
BEP,BEP,Bellary,BEP,BEP,Bellary,IN,KA
BEQ,BEQ,Honington RAF,BEQ,BEQ,Bury St Edmunds,GB,
BER,BER,Brandenburg,BER,BER,Berlin,DE,
BES,BES,Bretagne,BES,BES,Brest,FR,
BET,BET,Bethel Airport,BET,BET,Bethel,US,AK
BEU,BEU,Bedourie,BEU,BEU,Bedourie,AU,QL
BEV,BEV,Beersheba,BEV,BEV,Beersheba,IL,
BEW,BEW,Beira,BEW,BEW,Beira,MZ,
BEX,BEX,Benson RAF Station,BEX,BEX,Benson,GB,
BEY,BEY,Rafic Hariri Intl,BEY,BEY,Beirut,LB,
BEZ,BEZ,Beru,BEZ,BEZ,Beru,KI,
BFA,BFA,Bahia Negra,BFA,BFA,Bahia Negra,PY,
BFC,BFC,Bloomfield River,BFC,BFC,Bloomfield River,AU,QL
BFD,BFD,Bradford Regional,BFD,BFD,Bradford,US,PA
BFE,BFE,Windelsbleiche,BFE,BFE,Bielefeld,DE,
BFF,BFF,Western Nebraska Rgnl,BFF,BFF,Scottsbluff,US,NE
BFG,BFG,Bullfrog Basin,BFG,BFG,Glen Canyon,US,UT
BFH,BFH,Bacacheri,CWB,CWB,Curitiba,BR,PR
BFI,BFI,Boeing Fld-King Co Int,SEA,SEA,Seattle,US,WA
BFJ,BFJ,Bijie,BFJ,BFJ,Bijie,CN,
BFK,BFK,Aurora/Buckley AFB,DEN,DEN,Denver,US,CO
BFL,BFL,Meadows Field,BFL,BFL,Bakersfield,US,CA
BFM,BFM,Downtown Arpt,MOB,MOB,Mobile,US,AL
